EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	07:08:49	0.0000	2.8160	1.7079	0.0000	0.0000	0.0000	0.0000
2	07:09:53	0.0000	1.0991	0.7705	0.0000	0.0000	0.0000	0.0000
3	07:10:57	0.0000	0.7229	0.6643	0.0794	0.0206	0.0327	0.0170
4	07:11:59	0.0000	0.6458	0.6152	0.3670	0.2642	0.3073	0.2051
5	07:13:03	0.0000	0.5886	0.5781	0.4101	0.3952	0.4025	0.2796
6	07:14:04	0.0000	0.5432	0.5459	0.4475	0.4497	0.4486	0.3171
7	07:15:07	0.0000	0.5067	0.5221	0.4757	0.4509	0.4630	0.3238
8	07:16:10	0.0000	0.4866	0.5160	0.4678	0.4752	0.4714	0.3328
9	07:17:14	0.0000	0.4677	0.5043	0.4803	0.4727	0.4765	0.3359
10	07:18:15	0.0000	0.4579	0.5033	0.4776	0.4776	0.4776	0.3365
