EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:43:17	0.0000	1.2697	0.5091	0.5518	0.4133	0.4726	0.3238
2	22:44:43	0.0000	0.4466	0.3686	0.7056	0.5636	0.6267	0.4711
3	22:46:08	0.0000	0.3222	0.3510	0.7235	0.5964	0.6538	0.4960
4	22:47:33	0.0000	0.2523	0.3276	0.6920	0.6618	0.6766	0.5220
5	22:48:57	0.0000	0.1970	0.3444	0.6777	0.6703	0.6740	0.5212
6	22:50:22	0.0000	0.1570	0.3737	0.6841	0.6800	0.6821	0.5302
7	22:51:46	0.0000	0.1281	0.3693	0.6723	0.6764	0.6743	0.5230
8	22:53:11	0.0000	0.1056	0.3953	0.6585	0.6824	0.6702	0.5165
9	22:54:35	0.0000	0.0883	0.4082	0.6743	0.6800	0.6771	0.5253
10	22:56:02	0.0000	0.0777	0.4195	0.6719	0.6800	0.6759	0.5238
